UTMB® - Ranking Overall;;;;;;;;
Rank;Bib;First name, Family Name;Club-Team;Cat.;Rank by cat.;Race time;difference/1st;Nationality
;;;;;;;;
25;1;Courtney DAUWALTER;Salomon;35-39W;1;23:29:14;03:51:31;USA (United States)
1;3;Jim WALMSLEY;Hoka X Wahoo;20-34M;1;19:37:43;00:00:00;USA (United States)
32;5;Blandine L HIRONDEL;Kiprun Women Team;20-34W;2;24:22:50;04:45:07;FRA (France)
6;7;Thibaut GARRIVIER;HOKA;20-34M;3;21:10:38;01:32:55;FRA (France)
8;8;Hannes NAMBERGER;Dynafit;20-34M;4;21:20:46;01:43:03;GER (Germany)
4;9;Mathieu BLANCHARD;Salomon;35-39M;2;20:54:25;01:16:42;FRA (France)
12;10;Daniel JONES;ASICS TRAIL TEAM;20-34M;8;21:55:59;02:18:16;NZL (New Zealand)
19;12;Yanqiao YUN;;35-39M;6;22:41:09;03:03:26;CHN (China)
3;18;Germain GRANGIER;The North Face;20-34M;2;20:10:52;00:33:09;FRA (France)
37;21;Adrian MACDONALD;On Trail;35-39M;9;24:53:46;05:16:03;USA (United States)
14;23;Ji DUO;HOKA;20-34M;10;22:07:10;02:29:27;CHN (China)
2;26;Zach MILLER;The North Face;35-39M;1;19:58:58;00:21:15;USA (United States)
7;29;Tyler GREEN;Nike Trail;35-39M;3;21:19:21;01:41:38;USA (United States)
69;31;Timo TOLLEFSON;CRAFT;35-39M;20;26:49:27;07:11:44;USA (United States)
10;38;Baptiste CHASSAGNE;Team Sidas-Matryx;20-34M;6;21:38:11;02:00:28;FRA (France)
5;39;Ludovic POMMERET;Team Hoka;45-49M;1;21:00:54;01:23:11;FRA (France)
36;40;Fuzhao XIANG;HOKA;20-34W;3;24:50:33;05:12:50;CHN (China)
40;42;Maite MAIORA ELIZONDO;Team VIBRAM;40-44W;1;25:02:26;05:24:43;ESP (Spain)
50;43;Ailsa MACDONALD;Saucony;40-44W;2;25:48:54;06:11:11;CAN (Canada)
60;45;Jeffrey COLT;DVT;20-34M;27;26:15:44;06:38:01;USA (United States)
31;48;Katharina HARTMUTH;HOKA;20-34W;1;24:10:52;04:33:09;GER (Germany)
18;53;Raul Octaviu BUTACI;TEAM BIGK;35-39M;5;22:38:02;03:00:19;ROU (Romania)
20;55;Sergio Gustavo PEREYRA;SCARPA;20-34M;13;23:01:40;03:23:57;ARG (Argentina)
44;58;Katarzyna SOLI?SKA;On Running;20-34W;4;25:20:23;05:42:40;POL (Poland)
17;60;Rod FARVARD;The North Face, Buff;20-34M;12;22:32:59;02:55:16;USA (United States)
62;62;Leah YINGLING;;20-34W;5;26:21:24;06:43:41;USA (United States)
9;63;Arthur JOYEUX BOUILLON;On Running;20-34M;5;21:31:22;01:53:39;FRA (France)
16;64;Thomas JOLY DE LOTBINIERE;Hour 7;20-34M;11;22:25:20;02:47:37;GBR (United Kingdom)
150;65;Matt DANIELS;Nike;35-39M;40;29:29:57;09:52:14;USA (United States)
15;66;Scott HAWKER;TEAM VIBRAM;35-39M;4;22:13:58;02:36:15;NZL (New Zealand)
28;70;Bastien FLEURY;Team CIMALP;20-34M;16;23:47:43;04:10:00;FRA (France)
