UTMB® - Ranking Overall;;;;;;;;
Rank;Bib;First name, Family Name;Club-Team / Comments;Cat.;Rank by cat.;Race time;difference/1st;Nationality
;;;;;;;;
13;1;Katie SCHIDE;The North Face;20-34W;1;22:09:31;02:15:08;USA (United States of america)
40;4;Blandine L HIRONDEL;Kiprun Women team;20-34W;4;24:35:54;04:41:31;FRA (France)
4;7;Hannes NAMBERGER;DYNAFIT;35-39M;1;20:31:54;00:37:31;GER (Germany)
12;10;Thibaut BARONIAN;SALOMON RUNNING;35-39M;3;22:07:48;02:13:25;FRA (France)
16;14;Ruth CROFT;adidas TERREX;35-39W;1;22:48:37;02:54:14;NZL (New Zealand)
225;30;Jiaju ZHAO;HOKA;20-34M;69;31:07:10;11:12:47;CHN (China)
88;31;Eszter CSILLAG;HOKA - T8;35-39W;3;27:01:09;07:06:46;HUN (Hungary)
46;32;Drew HOLMEN;Nike Trail;20-34M;20;24:46:29;04:52:06;USA (United States of america)
10;33;Yannick NOËL;Inov8;35-39M;2;21:45:18;01:50:55;FRA (France)
56;35;Jeff MOGAVERO;On;20-34M;25;25:31:48;05:37:25;USA (United States of america)
50;37;Emily HAWGOOD;adidas Terrex / Gauge 20 Running / Idaho aFoot;20-34W;5;24:58:19;05:03:56;ZIM (Zimbabwe)
38;38;Pablo VILLA;adidas TERREX;35-39M;10;24:22:21;04:27:58;ESP (Spain)
2;41;Baptiste CHASSAGNE;Nike Trail;20-34M;2;20:22:45;00:28:22;FRA (France)
5;42;Ludovic POMMERET;Hoka;45-49M;1;20:57:48;01:03:25;FRA (France)
8;43;Manuel ANGUITA BAYO;NO SPONSOR;20-34M;6;21:41:01;01:46:38;ESP (Spain)
18;46;Marianne HOGAN;Salomon;20-34W;2;23:11:15;03:16:52;CAN (Canada)
68;52;Robert HAJNAL;Altra / Datacor / Texaco / Elite Trail Team;35-39M;17;26:00:01;06:05:38;ROU (Romania)
128;53;Manon BOHARD CAILLER;Grand Besançon Trail Academie;20-34W;11;28:07:06;08:12:43;FRA (France)
11;54;Josh WADE;;20-34M;8;21:52:09;01:57:46;GBR (United Kingdom)
188;56;Addie BRACY;Nike Trail;35-39W;8;30:08:02;10:13:39;USA (United States of america)
3;59;Joaquin LOPEZ;Kailas / Imptek;20-34M;3;20:26:22;00:31:59;ECU (Ecuador)
6;62;Arthur JOYEUX-BOUILLON;On Running;20-34M;4;21:12:12;01:17:49;FRA (France)
59;65;Claudia TREMPS;ON RUNNING;20-34W;7;25:39:37;05:45:14;ESP (Spain)
231;67;Abby HALL;adidas TERREX;20-34W;17;31:17:11;11:22:48;USA (United States of america)
14;101;Aubin FERRARI;;20-34M;9;22:33:07;02:38:44;FRA (France)
27;102;Canhua LUO;Kailas;20-34M;16;23:51:17;03:56:54;CHN (China)
246;109;Katarzyna SOLI?SKA;On Trail;20-34W;18;31:36:27;11:42:04;POL (Poland)
83;111;Maite MAIORA ELIZONDO;TEAM VIBRAM;40-44W;1;26:50:35;06:56:12;ESP (Spain)
104;117;Johanna ANTILA;Salomon;40-44W;3;27:33:13;07:38:50;FIN (Finland)
89;118;Mari Klakegg FENRE;Hoka;35-39W;4;27:05:54;07:11:31;NOR (Norway)
63;119;Martina VALMASSOI;team Salomon;35-39W;2;25:42:02;05:47:39;ITA (Italy)
15;121;Kamil LE?NIAK;Hoka Garmin Team;20-34M;10;22:47:34;02:53:11;POL (Poland)
24;123;Andy SYMONDS;Scott Running;40-44M;2;23:38:16;03:43:53;GBR (United Kingdom)
9;124;Gautier BONNECARRERE;La Sportiva;20-34M;7;21:45:16;01:50:53;FRA (France)
81;126;Helio FUMO;Compressport;40-44M;8;26:41:50;06:47:27;POR (Portugal)
22;128;Marián PRIADKA;Salomon;35-39M;5;23:22:52;03:28:29;SVK (Slovakia)
21;132;Alexis SEVENNEC;Morzine-Avoriaz / LaSportiva;35-39M;4;23:18:51;03:24:28;FRA (France)
48;133;Alexandre BOUCHEIX;CASQUETTE VERTE;20-34M;22;24:54:26;05:00:03;FRA (France)
30;134;Jhon BARRERA;;35-39M;8;23:57:49;04:03:26;COL (Colombia)
1;139;Vincent BOUILLARD;;20-34M;1;19:54:23;00:00:00;FRA (France)
26;141;Jonathan SCHMID;Sanoxx AG;20-34M;15;23:42:19;03:47:56;SUI (Switzerland)
7;149;Cody LIND;SCOTT Running;20-34M;5;21:33:16;01:38:53;USA (United States of america)
20;152;Guillaume DENEFFE;TRAKKS Belgium;40-44M;1;23:12:54;03:18:31;BEL (Belgium)
298;153;Lindsey DWYER;San Francisco Running Company;20-34W;22;32:41:43;12:47:20;USA (United States of america)
95;154;Maryline NAKACHE;Courir en pays de Grasse;40-44W;2;27:16:18;07:21:55;FRA (France)
52;155;Douglas PICKARD;Salomon SA;40-44M;6;25:09:38;05:15:15;RSA (South Africa)
105;156;Roberto MASTROTTO;Team La Sportiva International;35-39M;28;27:35:11;07:40:48;ITA (Italy)
