UTMB - 2761 Runners started All categories;;;;
;;;;
Bib;First name, family name;Club / Team;Cat.;Country
1;Katie SCHIDE;The North Face;20-34W;USA (US)
2;Jim WALMSLEY;Hoka;20-34M;USA (US)
4;Blandine L HIRONDEL;Kiprun Women team;20-34W;FRA (FR)
5;Thomas EVANS;Adidas Terrex / Red Bull;20-34M;GBR (GB)
6;Dmitry MITYAEV;Adidas TERREX;20-34M;AIN (AN)
7;Hannes NAMBERGER;DYNAFIT;35-39M;GER (DE)
8;Thibaut GARRIVIER;HOKA;20-34M;FRA (FR)
10;Thibaut BARONIAN;SALOMON RUNNING;35-39M;FRA (FR)
11;Mathieu BLANCHARD;SALOMON;35-39M;FRA (FR)
12;Jiasheng SHEN;The North Face/COROS;20-34M;CHN (CN)
13;Fuzhao XIANG;HOKA;20-34W;CHN (CN)
14;Ruth CROFT;adidas TERREX;35-39W;NZL (NZ)
15;Miguel ARSÉNIO;SPORTHG - amlsport;20-34M;POR (PT)
20;Germain GRANGIER;The North Face;20-34M;FRA (FR)
21;Aurelien DUNAND-PALLAZ;Team Compressport;20-34M;FRA (FR)
22;Ben DHIMAN;Asics;20-34M;USA (US)
23;Sébastien SPEHLER;Team ALTORE;35-39M;FRA (FR)
24;Yanqiao YUN;;35-39M;CHN (CN)
25;Ionel Cristian MANOLE;BigK;35-39M;ROU (RO)
27;Ji DUO;HOKA;20-34M;CHN (CN)
28;Pau CAPELL;THE NORTH FACE;20-34M;ESP (ES)
30;Jiaju ZHAO;HOKA;20-34M;CHN (CN)
31;Eszter CSILLAG;HOKA - T8;35-39W;HUN (HU)
32;Drew HOLMEN;Nike Trail;20-34M;USA (US)
33;Yannick NOËL;Inov8;35-39M;FRA (FR)
35;Jeff MOGAVERO;On;20-34M;USA (US)
36;Jonas RUSSI;HOKA/russimassagepraxis;35-39M;SUI (CH)
37;Emily HAWGOOD;adidas Terrex / Gauge 20 Running / Idaho aFoot;20-34W;ZIM (ZW)
38;Pablo VILLA;adidas TERREX;35-39M;ESP (ES)
39;Ricardo CHERTA;DYNAFIT;20-34M;ESP (ES)
40;Pere AURELL;Merrell/Rab;40-44M;ESP (ES)
41;Baptiste CHASSAGNE;Nike Trail;20-34M;FRA (FR)
42;Ludovic POMMERET;Hoka;45-49M;FRA (FR)
43;Manuel ANGUITA BAYO;NO SPONSOR;20-34M;ESP (ES)
45;Raul Octaviu BUTACI;Team BIGK;35-39M;ROU (RO)
46;Marianne HOGAN;Salomon;20-34W;CAN (CA)
47;Philipp AUSSERHOFER;;20-34M;ITA (IT)
49;Helen MINO FAUKNER;HOKA;20-34W;USA (US)
50;Ragna DEBATS;Merrell-Rab;45-49W;NED (NL)
52;Robert HAJNAL;Altra / Datacor / Texaco / Elite Trail Team;35-39M;ROU (RO)
53;Manon BOHARD CAILLER;Grand Besançon Trail Academie;20-34W;FRA (FR)
54;Josh WADE;;20-34M;GBR (GB)
55;Daniel JUNG;TEAM ALTRA-ALPENPLUS;40-44M;ITA (IT)
56;Addie BRACY;Nike Trail;35-39W;USA (US)
57;Tom JOLY;None;20-34M;GBR (GB)
58;Christian MEIER;Salomon;35-39M;CAN (CA)
59;Joaquin LOPEZ;Kailas / Imptek;20-34M;ECU (EC)
61;Fiona PASCALL;Salomon UK;35-39W;GBR (GB)
62;Arthur JOYEUX-BOUILLON;On Running;20-34M;FRA (FR)
63;Ekaterina MITYAEVA;Adidas TERREX;35-39W;AIN (AN)
64;Sergio Gustavo PEREYRA;Scarpa;20-34M;ARG (AR)
65;Claudia TREMPS;ON RUNNING;20-34W;ESP (ES)
66;Anne-Lise ROUSSET;SCOTT;35-39W;FRA (FR)
67;Abby HALL;adidas TERREX;20-34W;USA (US)
101;Aubin FERRARI;;20-34M;FRA (FR)
102;Canhua LUO;Kailas;20-34M;CHN (CN)
103;Guomin DENG;TheNorthFace & SUUNTO;35-39M;CHN (CN)
104;Sebastian KROGVIG;DYNAFIT;35-39M;NOR (NO)
106;Rogério SILVESTRIN;Go On Outdoor;35-39M;BRA (BR)
107;Timo TOLLEFSON;CRAFT;35-39M;USA (US)
108;Scott HAWKER;TEAM VIBRAM;35-39M;NZL (NZ)
109;Katarzyna SOLI?SKA;On Trail;20-34W;POL (PL)
110;Gediminas GRINIUS;TEAM VIBRAM;45-49M;LTU (LT)
111;Maite MAIORA ELIZONDO;TEAM VIBRAM;40-44W;ESP (ES)
112;Jordi GAMITO BAUS;Brooks;40-44M;ESP (ES)
113;Santos Gabriel RUEDA;SAGA TRAINING LAB;20-34M;ARG (AR)
114;Tara FRAGA;The North Face;20-34W;USA (US)
115;Fiona PORTE;COURCHEVEL SPORTS OUTDOOR;35-39W;FRA (FR)
116;Gregoire CURMER;TEAM CHAMONIX MONT BLANC;20-34M;FRA (FR)
117;Johanna ANTILA;Salomon;40-44W;FIN (FI)
118;Mari Klakegg FENRE;Hoka;35-39W;NOR (NO)
119;Martina VALMASSOI;team Salomon;35-39W;ITA (IT)
120;Aroa SIO;Craft Sports;45-49W;ESP (ES)
121;Kamil LE?NIAK;Hoka Garmin Team;20-34M;POL (PL)
122;Georg PIAZZA;La Sportiva;45-49M;ITA (IT)
123;Andy SYMONDS;Scott Running;40-44M;GBR (GB)
124;Gautier BONNECARRERE;La Sportiva;20-34M;FRA (FR)
126;Helio FUMO;Compressport;40-44M;POR (PT)
127;Baptiste COATANTIEC;Irun;20-34M;FRA (FR)
128;Marián PRIADKA;Salomon;35-39M;SVK (SK)
129;Jérôme VANDERSCHAEGHE;;20-34M;BEL (BE)
130;Mathieu CLÉMENT;Team Asics Trail;20-34M;SUI (CH)
131;Sylvain COURT;WISE Trail Running;40-44M;FRA (FR)
132;Alexis SEVENNEC;Morzine-Avoriaz / LaSportiva;35-39M;FRA (FR)
133;Alexandre BOUCHEIX;CASQUETTE VERTE;20-34M;FRA (FR)
134;Jhon BARRERA;;35-39M;COL (CO)
135;Riccardo BORGIALLI;NEW BALANCE;20-34M;ITA (IT)
137;Alexandre BERAUD;MERRELL / Rc VICHY;20-34M;FRA (FR)
138;Paul ZUNINO;;20-34M;FRA (FR)
139;Vincent BOUILLARD;;20-34M;FRA (FR)
140;Ida Sophie HEGEMANN;The North Face / Volkswagen R;20-34W;GER (DE)
141;Jonathan SCHMID;Sanoxx AG;20-34M;SUI (CH)
142;Keith WIGLEY;Inov8 / Elite Trail Team;20-34M;GBR (GB)
144;Hillary ALLEN;Brooks Running;35-39W;USA (US)
145;Emma STUART;Scarpa UK;20-34W;IRL (IE)
148;Alessandra BOIFAVA;ULTRABERICUS TEAM;45-49W;ITA (IT)
149;Cody LIND;SCOTT Running;20-34M;USA (US)
150;Remigio HUAMAN QUISPE;Adidas Terrex;40-44M;PER (PE)
151;Eva-Maria SPERGER;Salomon Running Team;45-49W;GER (DE)
152;Guillaume DENEFFE;TRAKKS Belgium;40-44M;BEL (BE)
153;Lindsey DWYER;San Francisco Running Company;20-34W;USA (US)
154;Maryline NAKACHE;Courir en pays de Grasse;40-44W;FRA (FR)
155;Douglas PICKARD;Salomon SA;40-44M;RSA (ZA)
156;Roberto MASTROTTO;Team La Sportiva International;35-39M;ITA (IT)
157;Ryan SANDES;Salomon;40-44M;RSA (ZA)
158;Ivan HRASTOVEC;;35-39M;SLO (SI)
159;Guillaume BEAUXIS;Hoka / Tarbes Pyrénées Athlétisme;35-39M;FRA (FR)
162;Pierre-Arnaud BOURGUENOLLE;KIPRUN;35-39M;FRA (FR)
163;Jean-Francois PUGIN;;20-34M;FRA (FR)
164;Juuso SIMPANEN;Team VJ / Rab / Suunto;20-34M;FIN (FI)
165;Jonathan MONCANY;SMAC;20-34M;FRA (FR)
166;Nancy JIANG;La Sportiva;20-34W;NZL (NZ)
168;Anna LI;HOKA;20-34W;CHN (CN)
169;Clément DESILLE;Team Brooks;20-34M;FRA (FR)
170;Micha? JUREK;MILMET / SALOMON / SUUNTO;40-44M;POL (PL)
171;Lucy BARTHOLOMEW;salomon;20-34W;AUS (AU)
172;Grant BARNETTE;Pit Viper;20-34M;USA (US)
173;Ugo FERRARI;Team Altra Europe;20-34M;FRA (FR)
174;Matis LERAY;Mizuno / Sidas;20-34M;FRA (FR)
175;Xiao LIN;???;35-39M;CHN (CN)
176;Naomi BRAND;Patagonia Trail Running, La Sportiva NZ;35-39W;RSA (ZA)
177;Jakob ÅBERG;SATISFY;20-34M;SWE (SE)
178;Arnaud COLLOUD;Chablais Mountain Runners;35-39M;FRA (FR)
179;Yuanyuan WU;NEWS???ALTRA;35-39W;CHN (CN)
180;Lin CHEN;adidas TERREX;20-34W;CHN (CN)
181;Claire BANNWARTH;Lapin Duduracell;35-39W;FRA (FR)
182;Geneviève ASSELIN-DEMERS;;35-39W;CAN (CA)
183;Adrien CORVASIER;RUN IN ANNECY;20-34M;FRA (FR)
184;Mike MCMONAGLE;Cat Nation;20-34M;USA (US)
185;Amanda BASHAM;Altra, Rabbit, Buff;35-39W;USA (US)
186;Canyon WOODWARD;Green Racing Project - Patagonia Trail;20-34M;USA (US)
187;Gvido KALNINS;S3;20-34M;LAT (LV)
188;Wolfgang HOCHHOLZER;Team Gamsbock;40-44M;GER (DE)
189;Oana MIHALCEA;Running Conseil;40-44W;ROU (RO)
190;Alyssa CLARK;On Trail;20-34W;USA (US)
191;Jean-Grégoire LUISIER;;20-34M;SUI (CH)
193;Matthew CREHAN;La Sportiva Australia;35-39M;AUS (AU)
194;Rémi BERCHET;Scott;35-39M;FRA (FR)
195;Diego TALES;Life Runners / KORRE;35-39M;BRA (BR)
196;Christophe POLASZEK;Cap Vercors;45-49M;FRA (FR)
197;Ryo MURATA;ANSWER4;20-34M;JPN (JP)
198;Vincent CHESSEX;;20-34M;SUI (CH)
199;Disi LIANG;ANTA GUANJUN/RACE TIMES;20-34M;CHN (CN)
200;Fabien FEUTRIER;;20-34M;FRA (FR)
201;Tobias FRITZ;LG Staffelsee Murnau;35-39M;GER (DE)
202;Ethan PETERS;;20-34M;CAN (CA)
203;Audrey VIRGILIO;;35-39W;SUI (CH)
204;Fabrice FAUSER;Dynafit;35-39M;SUI (CH)
205;Mario WEISS;ULC Riverside Mödling;40-44M;AUT (AT)
206;Cam KERR;;20-34M;NZL (NZ)
207;Valentin ORANGE;Kailas;20-34M;FRA (FR)
208;Leticia DA SILVA SALTORI;Mountain School/ Equipiazza;35-39W;BRA (BR)
209;Antoine LAINÉ;As figarella;20-34M;FRA (FR)
210;Petr HÉNEK;SALOMON;35-39M;CZE (CZ)
212;Edgar DIAS;Côme Family Office & médecin du rire;35-39M;FRA (FR)
213;Nuno MARQUES;Epic Climb Lovers;35-39M;POR (PT)
214;Alexis CRELLIN;;35-39W;USA (US)
215;Xingzhi BAI;VIBRAM;35-39M;CHN (CN)
216;Emilie MAROTEAUX;Run Passion Trail;40-44W;FRA (FR)
217;Guillaume BERTHIER;Stade Athlétique Autunois;35-39M;FRA (FR)
218;Stephen ROUX;;20-34M;FRA (FR)
219;Nicholas BAMFORD;Beacon Hill Runners;35-39M;GBR (GB)
220;Sara ESCOBAR CARRON;Académie de Trail Running Valais;40-44W;SUI (CH)
221;William ENGLUND;Salomon;20-34M;SWE (SE)
222;Mélanie DELASOIE;Dynafit;20-34W;SUI (CH)
223;Andris RONIMOISS;Inov8 / OSVeikals.lv / Supervaroni;40-44M;LAT (LV)
224;Gregory MIESCHER;;35-39M;SUI (CH)
225;Alessio ZAMBON;La Sportiva - Silverskin;20-34M;ITA (IT)
226;Sage CANADAY;HOKA;35-39M;USA (US)
227;Patrick BOHARD;Team Cimalp;60-64M;FRA (FR)
228;Emily VAUDAN;Revario;40-44W;SUI (CH)
229;Marco BONFANTE;XC TEAM ASD / VERONA TRAIL RUNNERS;35-39M;ITA (IT)
231;Laura VAN VOOREN;Avventura Belgium / Nutribay;20-34W;BEL (BE)
232;Simon WIDMANN;;20-34M;CAN (CA)
233;Kévin MICHAUD;TEAMDHOUBLON;20-34M;FRA (FR)
234;Juste RAIMBAULT;Avon Athlétisme Club;35-39M;FRA (FR)
235;Joe MILLER;Run the Whites - White Mountain Ski Company;35-39M;USA (US)
236;Sabrina STANLEY;AdidasTERREX;20-34W;USA (US)
237;Lodewijk VRIENS;T8;20-34M;NED (NL)
238;Ma?gorzata MOCZULSKA;CodeTwo / Wroc?aw University of Environmental and Life Sciences;45-49W;POL (PL)
239;Hippolyte PESCI;2EP - SoTrail Annecy;20-34M;FRA (FR)
240;Tomasz KIK;Slovak Ultra Trail Team;40-44M;SVK (SK)
241;Johanna BYGDELL;CRAFT run team/Öbacka LK;40-44W;SWE (SE)
242;Scott COOPER;Maple Syrup Express;35-39M;CAN (CA)
243;Jean-Marie DIVERREZ;Team Trail Finistère;45-49M;FRA (FR)
244;Clement CHRETIEN;2EP - Altra CHX24;35-39M;FRA (FR)
245;Damien LOITRON;S/L EA CREIL;35-39M;FRA (FR)
246;Jean-Christophe PLAY;;40-44M;FRA (FR)
247;Michael NANASZKO;;40-44M;USA (US)
248;Jisu KIM;Team hoka;45-49M;KOR (KR)
249;Kevin BIGGS;;35-39M;CAN (CA)
251;Bernhard MACKNER;ATSP;35-39M;AUT (AT)
252;Gérôme FERNANDEZ;;20-34M;FRA (FR)
253;Renaud ROUANET;Team Globtrailler - Team Altra Running Team Effinov;45-49M;FRA (FR)
254;Tomas STVERAK;Sportovna;20-34M;CZE (CZ)
255;Jesus ALVAREZ MORALES;Jab Berga;45-49M;ESP (ES)
256;Jacques GUIVARCH;;40-44M;FRA (FR)
257;Camille FERRE;Méribel Sport Montagne / Dynafit;20-34M;FRA (FR)
258;Jack CHAMBERLAIN;Precision Fuel & Hydration;20-34M;GBR (GB)
259;Tom DECLEIR;Avventura;20-34M;BEL (BE)
260;Stefano RUZZA;TEAM VIBRAM;40-44M;ITA (IT)
261;Benjamin NICOLAS;None;20-34M;FRA (FR)
262;Benje PATTERSON;;35-39M;NZL (NZ)
263;Javier DOMINGUEZ LEDO;TEAM VIBRAM;50-54M;ESP (ES)
264;Oscar PUYUELO BAGÜESTE;PEÑA GUARA;45-49M;ESP (ES)
267;Louis SCHINDLER;Nelson Athletics;45-49M;NZL (NZ)
268;Victor DEBIL-CAUX;EA Creil;40-44M;FRA (FR)
269;Simon COCHRANE;ATHLETIC PEAK;40-44M;NZL (NZ)
270;Roberto DE GASPERI;TRENTO RUNNING CLUB;20-34M;ITA (IT)
271;Florent CUNY;bAAM!;35-39M;FRA (FR)
272;Renaud DOBY;pyrennees personal training;40-44M;FRA (FR)
273;Samantha STIMAC;Green Racing Project;20-34W;USA (US)
274;Fátima BUCHAS;EDV - Viana Trail;35-39W;POR (PT)
276;Dardo Emmanuel OCAMPO;ALTRA RUNNING / NAAK;35-39M;ARG (AR)
277;Katie WRIGHT;La Sportiva;35-39W;GBR (GB)
278;Marie JANOD;Ecole de Trail du Haut Jura;20-34W;FRA (FR)
279;Sophie GRANT;La Sportiva;40-44W;NZL (NZ)
280;Alexandra BORSUK;Dynafit;35-39W;USA (US)
281;Marie Hélène POSTA;;20-34W;FRA (FR)
282;Cornelia OSWALD;runninGraz;35-39W;AUT (AT)
283;Manuela SOCCOL;craft/ runners' lab;35-39W;BEL (BE)
284;Susany PERARDT;WR Trail Running;35-39W;BRA (BR)
285;Hannah MCRAE;;20-34W;AUS (AU)
286;Arika ITO;ColumbiaMontrail;20-34W;JPN (JP)
287;Stephanie HOWE;The North Face;40-44W;USA (US)
288;Jacquie MANNHARD;Some Work, All Play;40-44W;USA (US)
289;Brooke THOMAS;;35-39W;NZL (NZ)
291;Lenka HIKLOVÁ;Karate klub Púchov/Veredasport;40-44W;SVK (SK)
292;Élodie NICOLAS;Team Lozère trail;35-39W;FRA (FR)
293;Mariela VIGLIOCCO;Nadalezteam;45-49W;ARG (AR)
294;Yukiko SAWADA;LA SPORTIVA;45-49W;JPN (JP)
295;Genevieve HARRISON;On;35-39W;USA (US)
296;Jasmine VOLLMER;;35-39W;AUS (AU)
297;Claire HESLOP;Salomon;40-44W;CAN (CA)
298;Melanie FINAS;KIPRUN WOMEN TEAM;20-34W;FRA (FR)
299;Giovanna MARTINS;;40-44W;BRA (BR)
300;Maria SAXVALL;Torsång IF;40-44W;SWE (SE)
301;Emelie EKLÖF;Lunds OK;40-44W;SWE (SE)
302;Kelsey HOGAN;norda 665;20-34W;CAN (CA)
303;Junko YANO;Team 100mile;50-54W;JPN (JP)
304;Klára BURDOVÁ;;20-34W;CZE (CZ)
305;Claire O BRIEN SMITH;Salomon Australia;20-34W;AUS (AU)
306;Ana Rocio CASTILLO LARA;Liebres Colombia;35-39W;COL (CO)
307;Anna STÅHLKLOO;IFK Mora;45-49W;SWE (SE)
308;Giulia ZANOVELLO;Ferrino Women Team;20-34W;ITA (IT)
309;Alice OLIVIER;SC Chateaurenard;35-39W;FRA (FR)
310;Noor VAN DER VEEN;RAB;20-34W;NED (NL)
311;Silje Skorve SKARPEID;GTI Friidrettsklubb/Dale Fjelløpere;35-39W;NOR (NO)
312;Xueer SHANG;#IchallengeLab;35-39W;CHN (CN)
313;Anne-Sofie POLLESTAD;Torpa IL;35-39W;NOR (NO)
314;Jenny JOSEFSSON;Salomon Sweden;50-54W;SWE (SE)
315;Kristina PATTISON;;40-44W;USA (US)
316;Maria Fernanda MONJE QUIMBAYA;NEDAO;20-34W;COL (CO)
317;Roser NICOLAU PICÓ;Aper Alcoi;45-49W;ESP (ES)
318;Hélène LÉGER;;40-44W;FRA (FR)
319;Julie PUTHOSTE;Scott Sports;35-39W;FRA (FR)
320;Marialuisa TAGLIAPIETRA;Unidet Trail&running;55-59W;ITA (IT)
321;Anouk BAARS;Team InStinct France;45-49W;NED (NL)
322;Oriane DUJARDIN;;20-34W;FRA (FR)
324;Eva MAREKOVÁ;Jogging klub Dubnica/Slovak Ultra Trail Team;40-44W;SVK (SK)
325;Lara MARTINS;Laia Diez;45-49W;BRA (BR)
326;Caroline HIMBERT;;20-34W;GER (DE)
327;Evanne BLANCHARD;Annecy Athletisme;20-34W;FRA (FR)
329;Daniel MEJIA;Satuc;40-44M;COL (CO)
401;Charly GUERIN;Cop'Ain de Trail;20-34M;FRA (FR)
402;Oleksii MELNYK;;35-39M;UKR (UA)
403;Marco PERCHE;;20-34M;FRA (FR)
404;Arnaud MARTIN;;20-34M;FRA (FR)
406;Thibaut LÉCURU;PLUS DE SPORT CHERBOURG;40-44M;FRA (FR)
407;Hallvard SCHJOLBERG;Lofoten Løpeklubb;45-49M;NOR (NO)
408;Benjamin ATKINS;;50-54M;GBR (GB)
409;Benoit GAILLARD;UA SOCIETE GENERALE;40-44M;FRA (FR)
410;Mathias CARROT;Team terre de Running Saint-Etienne;20-34M;FRA (FR)
411;Jean-Jacques MEYRONEINC;BAC;45-49M;FRA (FR)
412;Claudio Clasen SCHLINDWEIN;Urapazi;45-49M;BRA (BR)
413;Etienne GRANGEREAU;UA Societe Generale;40-44M;FRA (FR)
414;Simon ALLAZ;AutourDuTrail;40-44M;SUI (CH)
415;Maxime BODET;Kiprun;20-34M;FRA (FR)
416;Brad ORR;;35-39M;USA (US)
417;Jeremy GOGUET;;35-39M;FRA (FR)
